@relation 'TRAININGDATA-weka.filters.unsupervised.attribute.Remove-R1,3,5,7-12'

@attribute selectivity numeric
@attribute postgesEstCostMax numeric
@attribute postgesEstWidth numeric
@attribute numberOfWorkers numeric
@attribute realTime numeric

@data
100,1122569.24,254,6,74.064782
10,572659.74,270,6,17.828164
100,1125499.24,270,6,76.981311
0.1,487960.76,278,6,6.481354
1,519609.38,278,6,11.770759
10,578517.74,286,6,15.475874
100,1131357.24,286,6,79.483477
0.1,493818.76,294,6,7.059555
10,581447.74,294,6,19.12112
100,1134287.24,294,6,76.756014
0.1,496748.76,302,6,7.103332
10,584377.74,302,6,19.511052
100,1137217.24,302,6,82.001313
0.1,544411.57,51,6,5.371165
1,569886.19,51,6,5.607769
100,1055052.61,51,6,25.786658
100,1174780.53,101,6,29.639542
1,600462.19,108,6,8.542309
100,1215208.61,108,6,30.415064
0.1,571449.57,115,6,6.843534
10,659897.72,115,6,12.437569
100,1218138.61,115,6,32.675227
0.1,571449.57,122,6,7.245247
1,603392.19,122,6,7.795867
1,606322.19,129,6,9.014377
1,609252.19,136,6,9.731706
0.1,580519.68,143,6,8.619525
1,615162.92,143,6,10.787872
10,676439.64,143,6,15.617717
100,1283958.7,143,6,45.873037
10,676439.64,150,6,20.873897
100,1328880.7,164,6,58.669985
0.1,586761.68,172,6,9.395479
10,692919.64,172,6,16.697616
100,1407004.7,180,6,63.450677
1,629180.92,188,6,10.42346
100,1446068.7,188,6,71.328892
10,708851.64,196,6,17.981504
0.1,587431.68,204,6,10.352965
1,632240.92,204,6,10.53552
1,632240.92,212,6,12.98834
10,711507.64,212,6,21.068785
100,1504660.7,212,6,71.233617
0.1,587623.68,220,6,9.717537
10,716815.64,220,6,24.986624
100,1543722.7,220,6,68.66592
1,636320.92,228,6,10.629904
10,722127.64,228,6,19.528481
100,1582786.7,228,6,73.378857
0.1,588007.68,236,6,9.679133
1,638362.92,236,6,11.092153
100,1621848.7,236,6,81.627403
0.1,588199.68,244,6,11.183233
1,640402.92,244,6,11.119365
10,732747.64,244,6,22.313392
10,738057.64,252,6,29.724733
0.1,588583.68,260,6,11.038
1,644484.92,260,6,12.087527
10,743367.64,260,6,26.281859
100,1739036.7,260,6,86.803474
1,646524.92,268,6,11.394169
10,748679.64,268,6,25.763423
1,648564.92,276,6,13.989875
0.1,589159.68,284,6,10.741566
1,650604.92,284,6,14.814871
10,764609.64,292,6,24.920425
0.1,589541.68,300,6,11.226971
100,1934348.7,300,6,93.479964
100,1973412.7,308,6,102.68893
1,658764.92,316,6,12.539683
10,780539.64,316,6,28.856924
1,660804.92,324,6,15.508435
0.1,590309.68,332,6,10.196232
1,662846.92,332,6,16.725601
100,2090600.7,332,6,111.614707
10,791159.64,340,6,26.638867
0.1,593239.68,348,6,11.459619
100,2093530.7,348,6,113.80267
10,797019.64,356,6,28.587783
100,2096460.7,356,6,138.785446
10,799947.64,364,6,27.204344
10,802877.64,372,6,28.251667
100,2102318.7,372,6,115.619716
10,805807.64,380,6,26.601202
100,2105248.7,380,6,138.71432
0.1,605053.68,388,6,14.537468
100,2124778.7,388,6,136.874883
100,2147240.7,396,6,131.806203
0.1,611103.68,404,6,11.651905
